teamname,year,league,win_loss_sequence
Philadelphia 76ers,1972,NBA,1111011010101000000011010010100000010001101100101010010000000110001100101000010000
Buffalo Braves,1972,NBA,0100001010011101001000110101000000000000100100000100001001000001000010000101010000
Baltimore Bullets,1972,NBA,0100001010010111100011000100010001011111100010111100000000101110010011111011100001101000
Atlanta Hawks,1972,NBA,0000101100000101000000111000001110101011000100101101001000011100101101001010111111010100
Cincinnati Royals,1972,NBA,1000000110110010100100000110000000000000011110100011010000000011110000111100101101
Cleveland Cavaliers,1972,NBA,0100010000010100001111100001001000011110000000000010010000000001010100100010001000
Milwaukee Bucks,1972,NBA,111111101111111111001111011111111100101011110011101111110111011100111101101100111101111100100
Chicago Bulls,1972,NBA,01111101100011111110111010110011111110101110011111011001111110011011101011001110110000
Phoenix Suns,1972,NBA,0100110011001100001111111100111001011110110011001110001101111111110000101101110101
Detroit Pistons,1972,NBA,1011100011001000110000010100010000110010010100010000001100011000100000000010010100
Golden State Warriors,1972,NBA,100110111110111001110001100000010100011111111111011110100110110111011111100101010110000
Seattle SuperSonics,1972,NBA,1101011110101010101101010111010100110000101111110001101010111111101111101000100000
Houston Rockets,1972,NBA,0000001001000000001011010000111011110010100010100110010010111001110100010110000111
Portland Trail Blazers,1972,NBA,0001001000000001000000010101001010000000100011100000000010011000000000000010001100
New York Knicks,1973,NBA,110111111110111011110111011011001011101111111111100111100110101101011000111011100011101011100101111
Boston Celtics,1973,NBA,11111111110111101110111111111010101101111111111001011010111111110111111110111111111100111000110
Buffalo Braves,1973,NBA,0101000000100000000100010110101000010100011011000011000001000010000001100000000000
Philadelphia 76ers,1973,NBA,0000000000000001000000100010000000000000010000000000000000000011010110000000000000
Baltimore Bullets,1973,NBA,110010100010100110110101110111101110011011111110111100111110100110110101011101110000010
Atlanta Hawks,1973,NBA,1010001100111010100100011111001111101010001100011011100111001111001111110010110100001100
Houston Rockets,1973,NBA,1101001110100000001101000100110111001000000000011011000110000101101000011000011011
Cleveland Cavaliers,1973,NBA,0000000101110000100111000100000000010010110111101010001100001101000001011111100100
Milwaukee Bucks,1973,NBA,1101111110111001001111110010111111101100011111111010101011010110110011111111111111101000
Chicago Bulls,1973,NBA,10010111111011011110011101101001001111101100010011001111001111111101100111001100010011010
Detroit Pistons,1973,NBA,0100100101001001100011101110001100100100100010001001111110000111110010100110011111
Kansas City-Omaha Kings,1973,NBA,0101001000111101111100110100001110101000000010011010100011101101000000110100001100
Los Angeles Lakers,1973,NBA,100111110111111111111101111110110101100011101111111111100111100001011101110101110111001011110110000
Golden State Warriors,1973,NBA,011101111110011101001100101110110111111101001101000010110110001110010101110010010001011100010
Phoenix Suns,1973,NBA,0111000011111000001000110001100111101100111010000110010011100001101001000010011011
Seattle SuperSonics,1973,NBA,0110010100000000011100001000010100000001101000101100001100100001001000110101100000
Portland Trail Blazers,1973,NBA,0010000000001110001100000000010010010001010000000101000010100100000100000011000110
Boston Celtics,1974,NBA,1110010111111111111011101110111111100110110011011001101010111100100101110111011100101011110111010101
New York Knicks,1974,NBA,1011000111010011111000001101111100101111100111000111101100111010111101111001001001100110100100
Buffalo Braves,1974,NBA,1000101111000000100111000100101110001011111110101000100111100110111001110110101000010100
Philadelphia 76ers,1974,NBA,0010010000110001011001010000010100000001011000100000001011010000010010100100000101
Capital Bullets,1974,NBA,00001011111101001101100110101111100011110010110000110101011111001010110111000110110110010
Atlanta Hawks,1974,NBA,1100011011101010100001110000011101011001000001010010001011010001000011001001011100
Houston Rockets,1974,NBA,0111000100000001000011101011000000001001100000110110000011111001011100011110000001
Cleveland Cavaliers,1974,NBA,0000100100001100000110111001001000111000000001100101010000000101000011100011011010
Milwaukee Bucks,1974,NBA,11011111111111110001111111111011001110011011111110100101101010111010111100101101111101111110101010
Chicago Bulls,1974,NBA,010111111111111001101101011111101001011010100100011111111110110101101001100101101101101010000
Detroit Pistons,1974,NBA,01010110111101001101000111111101011001011101101111101111111001011100001101011110011001010
Kansas City-Omaha Kings,1974,NBA,0111000100000011000000000001100011011011010100011010110000110000111001000011110110
Golden State Warriors,1974,NBA,0101110011011011110110011000000010001011010111111110010101101111100110100110000010
Seattle SuperSonics,1974,NBA,0110001000001010000110110000001001101100101101110011010011000111010101001000101011
Phoenix Suns,1974,NBA,1001000000000011000101100111001100111001000100011011010000011100000001001000010110
Portland Trail Blazers,1974,NBA,1110010011100101010000010000011010110100110000000001000001000000000101000110010001
Boston Celtics,1975,NBA,010101011101100101010111101011101111111011111111111011011001110110111110111111011111011001010
Buffalo Braves,1975,NBA,10111001111111111101000101111000100010101111111011001110001110100101100001111100101001010
New York Knicks,1975,NBA,1010101011001111100111111000100010110100010100101001000001100010001111011001011001010
Philadelphia 76ers,1975,NBA,1101000011000100100001010110100011010101000010011010101101000101110011110010000000
Washington Bullets,1975,NBA,111111101011100011011111101101011110001110111111100110111101111111101100111011101101101011101010000
Houston Rockets,1975,NBA,100011110101111010000000100111111100100000001101110011110001101111110000010000111010100100
Cleveland Cavaliers,1975,NBA,0001110111001011011110010110101010100011000000001101111101011000000011011101010010
Atlanta Hawks,1975,NBA,0110010010100110001011011001010000101001000101100100001100001000011011000100101000
New Orleans Jazz,1975,NBA,0000000000010000010000000100000000000110000000010011011111100101101010100010101000
Chicago Bulls,1975,NBA,11000001110010110110010011111010001101111001110111110111111110000100101010100010111010110110100
Kansas City-Omaha Kings,1975,NBA,1101110010000101011110000101101001111000001010100111111011111100111000111010001001010100
Detroit Pistons,1975,NBA,1101000111100110100011100010101001111110110111101101000010000000101000100011110010010
Milwaukee Bucks,1975,NBA,0010000000000011101111011000110111110101111001010001101010000011101010100000101110
Seattle SuperSonics,1975,NBA,0011101011110001010001011100000110011100010000111110000101110100100111011001111111101010100
Portland Trail Blazers,1975,NBA,1010010100010111100111000000111000001110100010110000010100000111111000110111000111
Phoenix Suns,1975,NBA,1010010001110001001010011011010100000011010100111101000001111001000000000011000100
Los Angeles Lakers,1975,NBA,1001101000010010101010010110000111000101000100100010001000000100001101101100110000
Boston Celtics,1976,NBA,1110101000111011011111111101101011010111011111110010010111001101011111101011100001110011110011110011
Philadelphia 76ers,1976,NBA,1100111001111011011111100110010110101110010110000011110000010101101110001001101110010
Buffalo Braves,1976,NBA,1111001011011000000101011011110101101010111111011010110010100011001001011001011011101001100
New York Knicks,1976,NBA,0100110000011010001000010001101111110110011111100000110110100101010001000100111001
Cleveland Cavaliers,1976,NBA,00100110001001010110001111111011100011100111110101111111101001011010110011100111100110101001100
Washington Bullets,1976,NBA,10111011001000011011001001110011111010111001110011001111011011111011110000110001101001010
Houston Rockets,1976,NBA,0001110011000111110100101010101000110001011101011100011001010101011011000110000011
New Orleans Jazz,1976,NBA,0111111000000100010000001011010111110110000111110100000011000001101110100110010011
Atlanta Hawks,1976,NBA,1001011110110011010011010100110010000111000010101000100100000101000000000000000010
Milwaukee Bucks,1976,NBA,0000011111001000011110000101010110010110001000100010101100111100010101001011111010100
Detroit Pistons,1976,NBA,0111001100111110100000000010100110000011000010101000011101001000100001111111011100011010100
Kansas City Kings,1976,NBA,0001100100101110100011000000000001010011000011101100000110100101110100110000010100
Chicago Bulls,1976,NBA,0110100000000010010000001010010001011000010110001010001100000011001010000000010001
Golden State Warriors,1976,NBA,10101111110101011011111111110011101111101101011001101110111011011010111101111101101010111010100
Seattle SuperSonics,1976,NBA,1101000001001111110010001110100101101110010000001000111111110010000111101110011101100010
Phoenix Suns,1976,NBA,10010011001110101110111001000010000000100100011110100110101110101010111111101000110111010101011001100
Los Angeles Lakers,1976,NBA,1010110010111101110110111010000111000010000100010100111010001110001110100110001100
Portland Trail Blazers,1976,NBA,0000101111000011010000100100001010100010110111111100001000101110100010111001011010
Portland Trail Blazers,1977,NBA,11011111000111011011111010110110100101111100110011101000001010101000111000101111111011011011111001111
Philadelphia 76ers,1977,NBA,00111100111011101001011101010100111011111110010101011101010010011011110111110100100110101110101110000
Boston Celtics,1977,NBA,1111000011011001011101001011010000011001011000010011110110110011010011110101100111111001010
New York Knicks,1977,NBA,1110000110101101000001011011101110001001000100110010010011001001010011100101111011
Buffalo Braves,1977,NBA,1100001111100000010011000010100110100000100000100101001111000010011100001000100100
New York Nets,1977,NBA,1001000110001010101100100100010000000000000100011101000010100100010000000000001000
Houston Rockets,1977,NBA,1101100110011111111000101011010010000111001110010110110011011111111101110100011100010111001010
Washington Bullets,1977,NBA,0100011101001100000110111000101111101011111111011010110101111011000001111001011101101101000
San Antonio Spurs,1977,NBA,100100001111110101010000111000111101100001101101101011101100111111010001101100010000
Cleveland Cavaliers,1977,NBA,1111111101011001111100000101100010110100010101010010101010110001001111001011010100010
New Orleans Jazz,1977,NBA,1011011010011001101110010010010101010000001110000011000001100000000101111111000001
Atlanta Hawks,1977,NBA,0110000101100000011000011101010000000010011010100101101101010101011000010000101000
Denver Nuggets,1977,NBA,1111111101100110100101110101110111001111101101010010011110111001000100100111011010010010
Detroit Pistons,1977,NBA,1010000011111110110000111011110101011010011011001101101011011100011100001010000110100
Chicago Bulls,1977,NBA,0110000000000000110111101110000101011011001001010100101100111111101111111100111011010
Kansas City Kings,1977,NBA,0011011100100100110110010000110000111101010110111011000110100111111100110001000000
Indiana Pacers,1977,NBA,0001111000000111100101011011000010011111100000100101100101000011100010000100011011
Milwaukee Bucks,1977,NBA,0000011000010000000001000000011101101101010000001001000010111101000011110011000111
Los Angeles Lakers,1977,NBA,010011010010111011110001101111101110111101111011100011010011100111001101111111010111001010000
Golden State Warriors,1977,NBA,00111000011101000111110101100011110100101101011001111010100011111011001010011001110110011010
Seattle SuperSonics,1977,NBA,1001100110011011110100100110000001110111111010001010101001001000011011101000110010
Phoenix Suns,1977,NBA,0001001010011101011101000011010000010111011011010110001000000000000101000110101101
Washington Bullets,1978,NBA,1000101010111101111101101100011100111010000011000010010101101111010001111001001101110111011011010101011
Philadelphia 76ers,1978,NBA,10100011110111111111101100001101111111110101011101011111100010111111110111000010101111010010
New York Knicks,1978,NBA,1100101110011010011000110110100111101100000111010001100101111101001000010010110111110000
Boston Celtics,1978,NBA,0001000001110011001000101100000010001101000011110110001100101001011101001001000001
Buffalo Braves,1978,NBA,1100001101010101010101000101000001010100000000001100100000101011110100000000000100
New Jersey Nets,1978,NBA,0000100001000000001000000110110010100000000000000001110100010101010001110101101000
San Antonio Spurs,1978,NBA,1001011001011111001100111001000110101111011111111011100101100111010110111011111100100010
Cleveland Cavaliers,1978,NBA,010101111111001111000001100111000001000011100011100011110000110000111000111011111100
Atlanta Hawks,1978,NBA,101111111000011010010000011100100100001100100101101001010100110111011000010111110100
New Orleans Jazz,1978,NBA,0111110100000011111000000010001010011000111111111100000000110110101011011000000111
Houston Rockets,1978,NBA,0011110100010000001110100000101101000001001000011100101011001000000000000010101001
Denver Nuggets,1978,NBA,11001100101111111001011111000001111111111000110101100110110011010011000010101111001101001100010
Milwaukee Bucks,1978,NBA,1010110101000101110010110100111100110001110010110000011011011100100101111011010011110010110
Chicago Bulls,1978,NBA,1110010101100010110111111010100101000001111101001011000010010001100001101010011100
Detroit Pistons,1978,NBA,1001110010100000011000100011111011100000100111110000110011011010010011010110000011
Kansas City Kings,1978,NBA,0010011010101000010011000011110000000001010010000011111110010001010001110011000000
Indiana Pacers,1978,NBA,0011100000011100100001110101101100100110000100000000010010010100110110110000001010
Portland Trail Blazers,1978,NBA,1110111111010111111110111111101111111011100111111101101111110110100001100000100011010010
Phoenix Suns,1978,NBA,111000100111110110001111110101011010111111011111011100011000001011100001011111000100
Seattle SuperSonics,1978,NBA,00001000100011000010001111110111110011111110110110100011011110001101110111001111011011011010111011010100
Los Angeles Lakers,1978,NBA,0100100110110100010000101010110111100000011111010111101111010111011001011101011010010
Golden State Warriors,1978,NBA,0111011100010011000011101000011000011011011000111101100010010001111010111011101110
Seattle SuperSonics,1979,NBA,111111101101110110101011110000001101101101111011110000110010001011101111111011011011011110001101111
Washington Bullets,1979,NBA,11110000011100111111111011011111001011101111010111110100101111001101111010101110001011001010011110000
Philadelphia 76ers,1979,NBA,1011111111101100100100101111011110100101101010010111000100100000100010111101111101110010110
New Jersey Nets,1979,NBA,110000111110101110001100110110000001010011011000001111001110110001000001010100001000
New York Knicks,1979,NBA,0011100101001011111010001000011100011100100011000000111000000010101001010100000000
Boston Celtics,1979,NBA,0010000100000011010001111001001110000010011000011101111001001000010100001000000001
San Antonio Spurs,1979,NBA,011100110010101000110011001111111101111011110011001000101110111101110000100101110111010011011000
Houston Rockets,1979,NBA,111011000101010001010011110101101110101110110100001111010010011010111100110101011100
Atlanta Hawks,1979,NBA,0101001100111011101011000011001010101010011111100010110100011111111100001110001111110100110
Detroit Pistons,1979,NBA,0000011000101101000110010100001001000000110001111010000011110010110101001000000100
Cleveland Cavaliers,1979,NBA,1111000000100000000110000111010101101110000011100001000111010101010000000010010000
New Orleans Jazz,1979,NBA,0011000110101000001100110000100000100100000100010110010100000011000000101001001100
Kansas City Kings,1979,NBA,001011010101101111011101011101001001110111110001101111011110110000010011000001111101000
Denver Nuggets,1979,NBA,1111010101011000000100011111001100001011111101100011001101001110101100111111101110100
Milwaukee Bucks,1979,NBA,0101100001000101000010101110000101101001001101110100000011110001011101110011110001
Indiana Pacers,1979,NBA,1010101010000000100110011000000100011011010000111110001111001000011110011111100110
Chicago Bulls,1979,NBA,0100000000010001100101111110101000110010100000100001100010100100011100001100010011
Phoenix Suns,1979,NBA,1101110101101011011111010011001001110110100001111011001101100010110111001111111100101101110011100
Los Angeles Lakers,1979,NBA,000101111111111111100010101100100101101011110011001111100010111100000110100101001101100100
Portland Trail Blazers,1979,NBA,0100011111010111000011100001111100010000001011101111100100011011101101111011111000010
San Diego Clippers,1979,NBA,0001010110100010001110011000011010110111001000111101110000111111110111110100001001
Golden State Warriors,1979,NBA,1001001111110100110001011010001100011110100000010001100001110000011001100010110111
Los Angeles Lakers,1980,NBA,11001111101101110110001101110111101010111100111111011011101111111001110111110111111110101111101011
Boston Celtics,1980,NBA,1111001111110110111111010101111111010110110110110111111101011111111100101111001110111101000
Philadelphia 76ers,1980,NBA,1111111100111010001011111111100101111011111111100011100111110111111011100100111101111101110111010100
Washington Bullets,1980,NBA,001010010101111001000101010101001001111010000001101000011001110111011001000111001100
New York Knicks,1980,NBA,0110101010110000011011001110000010011011111000000011111010101010110011010011000100
New Jersey Nets,1980,NBA,1000000101010010110000111010010010001101110000101101001000110101000111010100001010
Atlanta Hawks,1980,NBA,100010111011111101010001101010111101101100101100000111111100111011101110110111010000100
Houston Rockets,1980,NBA,00011000011111110100011101010000001010011111010011000111110001011001010000110101111010000
San Antonio Spurs,1980,NBA,0101111010010011110010100011001010100101011100101111010010011100000000110111101001010
Indiana Pacers,1980,NBA,0110010010100011100010100101110100110000010111101111000101010110000000011100100110
Cleveland Cavaliers,1980,NBA,0010100001011100000111010101101010101110000000110100010000010101000010111111110101
Detroit Pistons,1980,NBA,1101001000001000011000010000100000000100000001110010000000000000100100000000000000
Milwaukee Bucks,1980,NBA,01111111111001110011010110100000011010001110010001010010111111001111100111101111010110100
Kansas City Kings,1980,NBA,1011000011000000111110101101111111100100111101110101101110001101101110010001100011010
Denver Nuggets,1980,NBA,0000000110101100100011010001001000110100110000000100100111001101010010010011010000
Chicago Bulls,1980,NBA,1000101000000010000101001001110010100101000100111000000011000010110010010110010110
Utah Jazz,1980,NBA,0000101000000000000001100111100100010110001000001110011100000100000100100001001000
Seattle SuperSonics,1980,NBA,0011010011111011110111101110111101011101101111111100011111111001001110100101011011101100101110000
Phoenix Suns,1980,NBA,111000011110101111001111010000111111111000101111101101110111010100111111001111011110100010
Portland Trail Blazers,1980,NBA,1111111110011001100111000000000011010100010110100001001100001011001001100011011100010
San Diego Clippers,1980,NBA,0101001010001010001110011000111011011100110011111100000010100001001001100110000000
Golden State Warriors,1980,NBA,0011100101110001010010000010000000100010000100100000101000010100010010010010000100
Boston Celtics,1981,NBA,101010111010111111011011101111111111110111111111111100011010110111111011011010110111110100111101011
Philadelphia 76ers,1981,NBA,01011111111111101111111111011111111110001111110110111011111011010110011110001011101110101011011000
New York Knicks,1981,NBA,110111011011110100011010011101111100110100100011100011111111011010001000111111001100
Washington Bullets,1981,NBA,1000010000011110010101011011000100011000001011111011110010110010010011110000011011
New Jersey Nets,1981,NBA,0110110000010011001000010101000001000000000000001010010000011111000000011010100000
Milwaukee Bucks,1981,NBA,10011111111110101110111101110010101011111101111110110011110101011111101011100111110101010
Chicago Bulls,1981,NBA,0110010000111000010110011000010101111111010000001111111010101000100111101011111111110000
Indiana Pacers,1981,NBA,110110101110000101100110111011100011000111111101000101100110010100100110110000111000
Atlanta Hawks,1981,NBA,1111000100000000001110001001111110011010000000100000001010001110011011001001001000
Cleveland Cavaliers,1981,NBA,0011000011000000001010101010010001010001111000011110110000011010000000001110000000
Detroit Pistons,1981,NBA,0000000100010010010011011000010001000001000000000101000000001010000110001011000010
San Antonio Spurs,1981,NBA,10111111110101100110101010100111011100111110111001000111110111000111100100111100110101010
Kansas City Kings,1981,NBA,1000100110100010110010010001101011001001011110000111001110011111001001111000001101101011100101000
Houston Rockets,1981,NBA,0011010010011001110001101010010000010111000110011011011011000111110000011100011110101101010110111010100
Denver Nuggets,1981,NBA,0011000001110100101001100000100000011001010101000111001100101101111010000111011011
Utah Jazz,1981,NBA,1010100011111101110001000100000000010010011101100000101000001000001000001001000010
Dallas Mavericks,1981,NBA,1000001000000000010000000000001000000100000100110000000000000001000100011000110100
Phoenix Suns,1981,NBA,11101111111101110111011111100110011111110110101111001010011111101001011110010100111000110
Los Angeles Lakers,1981,NBA,1111101101101101011101011000111110010101001111010111111100111011010101110101111100010
Portland Trail Blazers,1981,NBA,0100110000101000001010000011111111101111100100110011011001001110101110011011101111010
Golden State Warriors,1981,NBA,0111010101011011110010001110000001101111001100011001100101000101001111000010100100
San Diego Clippers,1981,NBA,1000010001110100000001101110100011111100000011011001001000011111010010100110101000
Seattle SuperSonics,1981,NBA,0010110001100101011010001111010011000001101001000000101111001010100011001100000001
Los Angeles Lakers,1982,NBA,001010111111111011011111011111100101110110100111000111111100010111110011101111011111111111101101
Boston Celtics,1982,NBA,1011111111011110110110110110110111101110011110011010111111111111111111011101110101101111000110
Philadelphia 76ers,1982,NBA,1111011111111110011110011011110100100011101011111111110001111101100011011111001111111101010111001010010
New Jersey Nets,1982,NBA,000010001000100101010011110010101101010111011011110101001111101001001001111001111100
Washington Bullets,1982,NBA,00010110000100011011010011101001101111111000001101000110010111001101111000111110011101000
New York Knicks,1982,NBA,1001010000101110111001100001111100010001000101100100001101011001000010011000100000
Milwaukee Bucks,1982,NBA,0111011110001011111111100111110010111001011111111111101011000001111100111111100010001010
Atlanta Hawks,1982,NBA,001110011111000000011000011011110101001000000001111100001111100111101110011011101000
Detroit Pistons,1982,NBA,1110001101101000000000101111000100010010100111010101010100110011111010100011010101
Indiana Pacers,1982,NBA,1100010100101101110101011100100100000100010001000110101111101000010100101000100100
Chicago Bulls,1982,NBA,0010110100001100001110110010000111000011100000001000011110001110101010000001001111
Cleveland Cavaliers,1982,NBA,0101100001000000001000000010000000001000101110000000100001001010000000000000000000
San Antonio Spurs,1982,NBA,1101111111000101111110001011100111100110111100011110110010100011001101100001011010101110000
Denver Nuggets,1982,NBA,1011000011111000000010111011001011010111011100101110000010110111111111111001000101100
Houston Rockets,1982,NBA,1010000011110000001000111101001101100111011111111011011100101101000011111110101010010
Kansas City Kings,1982,NBA,0011000010000110101001101000100010011000000001010001100000110101010110001000100111
Dallas Mavericks,1982,NBA,0100000000000010011000100100100110000111100001011100100100001110000101000100111000
Utah Jazz,1982,NBA,1010111001010001000010100000001100001000001001111000010000000000000000001110011001
Seattle SuperSonics,1982,NBA,100011001111011011011111101001111111101011111110000101010111011001110100111100101010101000
Golden State Warriors,1982,NBA,0100101111100101111100110100110010110010111010001101010111101000001111010110101100
Philadelphia 76ers,1983,NBA,11111101111011101111011101111111111111101111110111111111100111111101010101101100101111111011111
Boston Celtics,1983,NBA,11110101111111101011111010010111111101110111111001100101110100001101100111110110011010000
Atlanta Hawks,1983,NBA,0010111000011100110011100011000111010110010010110010001111110101011110001011010101010
Cleveland Cavaliers,1983,NBA,0000010000000100010000000100000010010100001100001111001010010100000010001001001011
Indiana Pacers,1983,NBA,1000101101001000010110000010100100000010001010000010000000000001000001010000000100
San Antonio Spurs,1983,NBA,110111100010110111010111011100011110010111000111000111011101011011111001111110011111101010010
Denver Nuggets,1983,NBA,010010001110010101001010001110101010110101001100110101001111111111100110001011011101100010
Kansas City Kings,1983,NBA,1100011111100101011101011101011001000110000001000101110001111000001101111101111110
Dallas Mavericks,1983,NBA,1011100001010110011100001000001000110111110110111001000111100100111001100000001100
Seattle SuperSonics,1983,NBA,111111111111001110100011111011000000001000100110001011100100101111110101111111100000
